Source,Target,Type,Id,Label,Weight
2.0,7.0,Undirected,1,4,100,7
12.0,28.0,Undirected,2,2  4,100,28
14.0,16.0,Undirected,3,11  13,100,16
20.0,30.0,Undirected,4,5  9,100,30
22.0,23.0,Undirected,5,6,100,23
24.0,26.0,Undirected,6,3   8  15,100,26
25.0,27.0,Undirected,7,11,100,27
32.0,37.0,Undirected,8,10  14,100,37
38.0,41.0,Undirected,9,10,200,41
