Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,5162  5511     0     0,1.0
2.0,7.0,Undirected,1,4849  5152     0     0,1.0
3.0,6.0,Undirected,2,4895  5195     0     0,1.0
4.0,6.0,Undirected,3,5225  5573     0     0,1.0
5.0,8.0,Undirected,4,5033  5296     0     0,1.0
6.0,8.0,Undirected,5,4412  4681     0     0,1.0
7.0,14.0,Undirected,6,3378  3652     0     0,1.0
8.0,13.0,Undirected,7,4055  4299     0     0,1.0
8.0,15.0,Undirected,8,3356  3562     0     0,1.0
9.0,11.0,Undirected,9,4287  4580     0     0,1.0
10.0,11.0,Undirected,10,3322  3534     0     0,1.0
11.0,13.0,Undirected,11,4187  4442     0     0,1.0
11.0,42.0,Undirected,12,3098  3317     0     0,1.0
12.0,17.0,Undirected,13,3024  3243     0     0,1.0
12.0,25.0,Undirected,14,4585  4884     0     0,1.0
12.0,28.0,Undirected,15,4863  5149     0     0,1.0
12.0,30.0,Undirected,16,4407  4672     0     0,1.0
12.0,42.0,Undirected,17,4286  4539     0     0,1.0
13.0,16.0,Undirected,18,3899  4141     0     0,1.0
13.0,42.0,Undirected,19,4700  4952     0     0,1.0
14.0,15.0,Undirected,20,3387  3596     0     0,1.0
14.0,16.0,Undirected,21,3202  3413     0     0,1.0
14.0,17.0,Undirected,22,3056  3285     0     0,1.0
14.0,31.0,Undirected,23,3064  3341     0     0,1.0
15.0,17.0,Undirected,24,3808  4052     0     0,1.0
16.0,17.0,Undirected,25,4178  4445     0     0,1.0
17.0,18.0,Undirected,26,3287  3495     0     0,1.0
17.0,30.0,Undirected,27,3907  4158     0     0,1.0
18.0,19.0,Undirected,28,3720  3971     0     0,1.0
18.0,31.0,Undirected,29,3800  4080     0     0,1.0
19.0,20.0,Undirected,30,4608  4864     0     0,1.0
19.0,21.0,Undirected,31,3465  3750     0     0,1.0
19.0,32.0,Undirected,32,3750  4026     0     0,1.0
20.0,21.0,Undirected,33,4597  4839     0     0,1.0
20.0,30.0,Undirected,34,4655  4901     0     0,1.0
21.0,22.0,Undirected,35,4762  5031     0     0,1.0
22.0,23.0,Undirected,36,5056  5302     0     0,1.0
24.0,25.0,Undirected,37,4851  5156     0     0,1.0
24.0,26.0,Undirected,38,5540  5853     0     0,1.0
24.0,30.0,Undirected,39,3991  4226     0     0,1.0
25.0,27.0,Undirected,40,6785  7190     0     0,1.0
27.0,29.0,Undirected,41,7012  7405     0     0,1.0
31.0,32.0,Undirected,42,3426  3837     0     0,1.0
31.0,33.0,Undirected,43,4765  5124     0     0,1.0
32.0,34.0,Undirected,44,4693  5015     0     0,1.0
32.0,37.0,Undirected,45,4124  4694     0     0,1.0
33.0,37.0,Undirected,46,4518  5084     0     0,1.0
34.0,35.0,Undirected,47,7450  7896     0     0,1.0
34.0,36.0,Undirected,48,6489  6917     0     0,1.0
37.0,38.0,Undirected,49,3916  5027     0     0,1.0
37.0,39.0,Undirected,50,4728  5380     0     0,1.0
38.0,40.0,Undirected,51,4546  5576     0     0,1.0
38.0,41.0,Undirected,52,3083  4696    22  1690,1.0
