Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,6419  6937     0     0,1.0
2.0,7.0,Undirected,1,6223  6688     0     0,1.0
3.0,6.0,Undirected,2,6303  6651     0     0,1.0
4.0,6.0,Undirected,3,5860  6234     0     0,1.0
5.0,8.0,Undirected,4,5681  6170     0     0,1.0
6.0,8.0,Undirected,5,4493  4806     0     0,1.0
7.0,14.0,Undirected,6,4688  5048     0     0,1.0
8.0,13.0,Undirected,7,4143  4541     0     0,1.0
8.0,15.0,Undirected,8,4026  4366     0     0,1.0
9.0,11.0,Undirected,9,5021  5314     0     0,1.0
10.0,11.0,Undirected,10,4702  4953     0     0,1.0
11.0,13.0,Undirected,11,3852  4134     0     0,1.0
11.0,42.0,Undirected,12,4197  4449     0     0,1.0
12.0,17.0,Undirected,13,3916  4189     0     0,1.0
12.0,25.0,Undirected,14,3903  4208     0     0,1.0
12.0,28.0,Undirected,15,5278  5692     0     0,1.0
12.0,30.0,Undirected,16,3504  3820     0     0,1.0
12.0,42.0,Undirected,17,4514  4871     0     0,1.0
13.0,16.0,Undirected,18,3124  3624     5   355,1.0
13.0,42.0,Undirected,19,3627  3931     0     0,1.0
14.0,15.0,Undirected,20,3005  3261     0     0,1.0
14.0,16.0,Undirected,21,3832  4282     0     0,1.0
14.0,17.0,Undirected,22,3342  3558     0     0,1.0
14.0,31.0,Undirected,23,4337  4728     0     0,1.0
15.0,17.0,Undirected,24,3690  4013     0     0,1.0
16.0,17.0,Undirected,25,3353  3791     0     0,1.0
17.0,18.0,Undirected,26,3886  4225     0     0,1.0
17.0,30.0,Undirected,27,2845  3143     0     0,1.0
18.0,19.0,Undirected,28,3255  3520     0     0,1.0
18.0,31.0,Undirected,29,2992  3302     0     0,1.0
19.0,20.0,Undirected,30,4215  4573     0     0,1.0
19.0,21.0,Undirected,31,4214  4653     0     0,1.0
19.0,32.0,Undirected,32,3356  3815     0     0,1.0
20.0,21.0,Undirected,33,4967  5345     0     0,1.0
20.0,30.0,Undirected,34,3619  3949     0     0,1.0
21.0,22.0,Undirected,35,4845  5193     0     0,1.0
22.0,23.0,Undirected,36,5926  6278     0     0,1.0
24.0,25.0,Undirected,37,4880  5204     0     0,1.0
24.0,26.0,Undirected,38,4344  4641     0     0,1.0
24.0,30.0,Undirected,39,3767  4070     0     0,1.0
25.0,27.0,Undirected,40,4302  4557     0     0,1.0
27.0,29.0,Undirected,41,4718  4963     0     0,1.0
31.0,32.0,Undirected,42,3011  3448     0     0,1.0
31.0,33.0,Undirected,43,4380  4750     0     0,1.0
32.0,34.0,Undirected,44,3556  4705     8  1118,1.0
32.0,37.0,Undirected,45,4554  5010     0     0,1.0
33.0,37.0,Undirected,46,3609  3942     0     0,1.0
34.0,35.0,Undirected,47,5336  6513     0     0,1.0
34.0,36.0,Undirected,48,5668  6930     0     0,1.0
37.0,38.0,Undirected,49,3712  3922     0     0,1.0
37.0,39.0,Undirected,50,3908  4128     0     0,1.0
38.0,40.0,Undirected,51,5790  6077     0     0,1.0
38.0,41.0,Undirected,52,4599  4847     0     0,1.0
