Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,5389  5723     0     0,1.0
2.0,7.0,Undirected,1,6261  6660     0     0,1.0
3.0,6.0,Undirected,2,5348  6287     0     0,1.0
4.0,6.0,Undirected,3,4929  5878     0     0,1.0
5.0,8.0,Undirected,4,3181  5593     0  2639,1.0
6.0,8.0,Undirected,5,4475  5729     0     0,1.0
7.0,14.0,Undirected,6,3885  4185     0     0,1.0
8.0,13.0,Undirected,7,3575  4383     0     0,1.0
8.0,15.0,Undirected,8,3317  3853     0     0,1.0
9.0,11.0,Undirected,9,5850  6223     0     0,1.0
10.0,11.0,Undirected,10,5215  5598     0     0,1.0
11.0,13.0,Undirected,11,3607  4096     0     0,1.0
11.0,42.0,Undirected,12,4559  5132     0     0,1.0
12.0,17.0,Undirected,13,3053  3491     0     0,1.0
12.0,25.0,Undirected,14,4601  5208     0     0,1.0
12.0,28.0,Undirected,15,3173  3732     0     0,1.0
12.0,30.0,Undirected,16,2505  3558     7   599,1.0
12.0,42.0,Undirected,17,3210  3803     0     0,1.0
13.0,16.0,Undirected,18,3643  4126     0     0,1.0
13.0,42.0,Undirected,19,4418  4969     0     0,1.0
14.0,15.0,Undirected,20,2581  2910     0     0,1.0
14.0,16.0,Undirected,21,2572  2991     0     0,1.0
14.0,17.0,Undirected,22,2851  3407     0     0,1.0
14.0,31.0,Undirected,23,3377  3708     0     0,1.0
15.0,17.0,Undirected,24,2443  2993     0     0,1.0
16.0,17.0,Undirected,25,2871  3226     0     0,1.0
17.0,18.0,Undirected,26,2921  3315     0     0,1.0
17.0,30.0,Undirected,27,1586  2815    13  1256,1.0
18.0,19.0,Undirected,28,3305  3670     0     0,1.0
18.0,31.0,Undirected,29,3355  3630     0     0,1.0
19.0,20.0,Undirected,30,4434  4738     0     0,1.0
19.0,21.0,Undirected,31,4224  4567     0     0,1.0
19.0,32.0,Undirected,32,3905  4218     0     0,1.0
20.0,21.0,Undirected,33,4037  4495     0     0,1.0
20.0,30.0,Undirected,34,3193  3679     0     0,1.0
21.0,22.0,Undirected,35,4524  4884     0     0,1.0
22.0,23.0,Undirected,36,4567  4853     0     0,1.0
24.0,25.0,Undirected,37,4511  5016     0     0,1.0
24.0,26.0,Undirected,38,6356  6895     0     0,1.0
24.0,30.0,Undirected,39,3762  4458     0     0,1.0
25.0,27.0,Undirected,40,6458  7048     0     0,1.0
27.0,29.0,Undirected,41,6651  7198     0     0,1.0
31.0,32.0,Undirected,42,3925  4213     0     0,1.0
31.0,33.0,Undirected,43,4015  4293     0     0,1.0
32.0,34.0,Undirected,44,4457  4786     0     0,1.0
32.0,37.0,Undirected,45,4088  4349     0     0,1.0
33.0,37.0,Undirected,46,4137  4409     0     0,1.0
34.0,35.0,Undirected,47,5055  5408     0     0,1.0
34.0,36.0,Undirected,48,6711  7162     0     0,1.0
37.0,38.0,Undirected,49,4965  5264     0     0,1.0
37.0,39.0,Undirected,50,4402  4665     0     0,1.0
38.0,40.0,Undirected,51,5701  6006     0     0,1.0
38.0,41.0,Undirected,52,6194  6452     0     0,1.0
