Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,276  319    0    0,1.0
2.0,7.0,Undirected,1,382  419    0    0,1.0
3.0,6.0,Undirected,2,412  472    0    0,1.0
4.0,6.0,Undirected,3,546  631    0    0,1.0
5.0,8.0,Undirected,4,373  452    0    0,1.0
6.0,8.0,Undirected,5,419  523    0    0,1.0
7.0,14.0,Undirected,6,244  287    0    0,1.0
8.0,13.0,Undirected,7,472  575    0    0,1.0
8.0,15.0,Undirected,8,175  229    0    0,1.0
9.0,11.0,Undirected,9,188  326    0    0,1.0
10.0,11.0,Undirected,10,126  382    6  546,1.0
11.0,13.0,Undirected,11,193  316    0    0,1.0
11.0,42.0,Undirected,12,283  362    0    0,1.0
12.0,17.0,Undirected,13,242  302    0    0,1.0
12.0,25.0,Undirected,14,523  623    0    0,1.0
12.0,28.0,Undirected,15,332  374    0    0,1.0
12.0,30.0,Undirected,16,204  254    0    0,1.0
12.0,42.0,Undirected,17,160  211    0    0,1.0
13.0,16.0,Undirected,18,232  287    0    0,1.0
13.0,42.0,Undirected,19,230  298    0    0,1.0
14.0,15.0,Undirected,20,157  195    0    0,1.0
14.0,16.0,Undirected,21,315  378    0    0,1.0
14.0,17.0,Undirected,22,370  455    0    0,1.0
14.0,31.0,Undirected,23,247  276    0    0,1.0
15.0,17.0,Undirected,24,181  244    0    0,1.0
16.0,17.0,Undirected,25,197  241    0    0,1.0
17.0,18.0,Undirected,26,334  405    0    0,1.0
17.0,30.0,Undirected,27,239  303    0    0,1.0
18.0,19.0,Undirected,28,381  436    0    0,1.0
18.0,31.0,Undirected,29,264  301    0    0,1.0
19.0,20.0,Undirected,30,197  257    0    0,1.0
19.0,21.0,Undirected,31,321  408    0    0,1.0
19.0,32.0,Undirected,32,261  299    0    0,1.0
20.0,21.0,Undirected,33,303  351    0    0,1.0
20.0,30.0,Undirected,34,240  312    0    0,1.0
21.0,22.0,Undirected,35,418  486    0    0,1.0
22.0,23.0,Undirected,36,511  586    0    0,1.0
24.0,25.0,Undirected,37,393  475    0    0,1.0
24.0,26.0,Undirected,38,340  416    0    0,1.0
24.0,30.0,Undirected,39,298  343    0    0,1.0
25.0,27.0,Undirected,40,584  672    0    0,1.0
27.0,29.0,Undirected,41,422  482    0    0,1.0
31.0,32.0,Undirected,42,187  215    0    0,1.0
31.0,33.0,Undirected,43,255  280    0    0,1.0
32.0,34.0,Undirected,44,342  395    0    0,1.0
32.0,37.0,Undirected,45,278  328    0    0,1.0
33.0,37.0,Undirected,46,275  303    0    0,1.0
34.0,35.0,Undirected,47,303  353    0    0,1.0
34.0,36.0,Undirected,48,349  394    0    0,1.0
37.0,38.0,Undirected,49,288  328    0    0,1.0
37.0,39.0,Undirected,50,449  522    0    0,1.0
38.0,40.0,Undirected,51,401  442    0    0,1.0
38.0,41.0,Undirected,52,403  469    0    0,1.0
