Source,Target,Type,Id,Label,Weight
2.0,7.0,Undirected,1,4,6,7
3.0,6.0,Undirected,2,2,4,6
4.0,6.0,Undirected,3,3,6,6
5.0,8.0,Undirected,4,9,2,8
6.0,8.0,Undirected,5,2  3,6,8
7.0,14.0,Undirected,6,4  17,6,14
8.0,13.0,Undirected,7,2  9,8,13
8.0,15.0,Undirected,8,3  8,8,15
9.0,11.0,Undirected,9,5  13,8,11
10.0,11.0,Undirected,10,7,8,11
11.0,13.0,Undirected,11,6   7  13,2,13
11.0,42.0,Undirected,12,5,8,42
12.0,17.0,Undirected,13,4  15,9,17
12.0,25.0,Undirected,14,11  15,11,25
12.0,28.0,Undirected,15,2  4,6,28
12.0,30.0,Undirected,16,5  8  9,10,30
12.0,42.0,Undirected,17,2   5   8   9  11,6,42
13.0,16.0,Undirected,18,6   7  11  13,8,16
13.0,42.0,Undirected,19,2   8   9  11,8,42
14.0,15.0,Undirected,20,14  17,4,15
14.0,16.0,Undirected,21,11  13,8,16
14.0,17.0,Undirected,22,4,10,17
14.0,31.0,Undirected,23,11  14,6,31
15.0,17.0,Undirected,24,3  10,4,17
16.0,17.0,Undirected,25,6  7,10,17
17.0,18.0,Undirected,26,6   7  10  15,9,18
17.0,30.0,Undirected,27,3,12,30
18.0,19.0,Undirected,28,6  10,5,19
18.0,31.0,Undirected,29,7  15,8,31
19.0,20.0,Undirected,30,9,6,20
19.0,21.0,Undirected,31,6,7,21
19.0,32.0,Undirected,32,9  10,8,32
20.0,21.0,Undirected,33,5,6,21
20.0,30.0,Undirected,34,5  9,10,30
21.0,22.0,Undirected,35,5  6,5,22
22.0,23.0,Undirected,36,6,5,23
24.0,25.0,Undirected,37,15,11,25
24.0,26.0,Undirected,38,3   8  15,10,26
24.0,30.0,Undirected,39,3  8,12,30
25.0,27.0,Undirected,40,11,8,27
27.0,29.0,Undirected,41,11,8,29
31.0,32.0,Undirected,42,7  14,8,32
31.0,33.0,Undirected,43,11  15,6,33
32.0,34.0,Undirected,44,7  9,8,34
32.0,37.0,Undirected,45,10  14,10,37
33.0,37.0,Undirected,46,11,6,37
34.0,35.0,Undirected,47,7,14,35
34.0,36.0,Undirected,48,9,12,36
37.0,38.0,Undirected,49,10  14,8,38
37.0,39.0,Undirected,50,11,10,39
38.0,40.0,Undirected,51,14,12,40
38.0,41.0,Undirected,52,10,4,41
