Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,113568  121808       0       0,1.0
2.0,7.0,Undirected,1,109921  118128       0       0,1.0
3.0,6.0,Undirected,2,103272  127168       0       0,1.0
4.0,6.0,Undirected,3,82956  123889       0   42572,1.0
5.0,8.0,Undirected,4,92948  106182       0       0,1.0
6.0,8.0,Undirected,5,83954  103611       0       0,1.0
7.0,14.0,Undirected,6,88591  97513      0      0,1.0
8.0,13.0,Undirected,7,76183  85597      0      0,1.0
8.0,15.0,Undirected,8,73438  83810      0      0,1.0
9.0,11.0,Undirected,9,103550  111288       0       0,1.0
10.0,11.0,Undirected,10,104187  111721       0       0,1.0
11.0,13.0,Undirected,11,78483  85700      0      0,1.0
11.0,42.0,Undirected,12,78852  86175      0      0,1.0
12.0,17.0,Undirected,13,61307  74836      0      0,1.0
12.0,25.0,Undirected,14,66888  88278      0      0,1.0
12.0,28.0,Undirected,15,83314  95716      0      0,1.0
12.0,30.0,Undirected,16,63372  79096      0      0,1.0
12.0,42.0,Undirected,17,70739  80784      0      0,1.0
13.0,16.0,Undirected,18,70989  78311      0      0,1.0
13.0,42.0,Undirected,19,73745  81182      0      0,1.0
14.0,15.0,Undirected,20,71760  80966      0      0,1.0
14.0,16.0,Undirected,21,67901  76637      0      0,1.0
14.0,17.0,Undirected,22,64650  75694      0      0,1.0
14.0,31.0,Undirected,23,64939  77472      0      0,1.0
15.0,17.0,Undirected,24,65742  76883      0      0,1.0
16.0,17.0,Undirected,25,61196  70867      0      0,1.0
17.0,18.0,Undirected,26,63487  74084      0      0,1.0
17.0,30.0,Undirected,27,40819  72322    350  33068,1.0
18.0,19.0,Undirected,28,67113  77166      0      0,1.0
18.0,31.0,Undirected,29,65155  77208      0      0,1.0
19.0,20.0,Undirected,30,67686  77371      0      0,1.0
19.0,21.0,Undirected,31,77906  86114      0      0,1.0
19.0,32.0,Undirected,32,71939  83469      0      0,1.0
20.0,21.0,Undirected,33,74776  84512      0      0,1.0
20.0,30.0,Undirected,34,66769  82785      0      0,1.0
21.0,22.0,Undirected,35,93014  101224       0       0,1.0
22.0,23.0,Undirected,36,99749  106749       0       0,1.0
24.0,25.0,Undirected,37,72099  96041      0      0,1.0
24.0,26.0,Undirected,38,76674  99249     79  11067,1.0
24.0,30.0,Undirected,39,67624  87572      0      0,1.0
25.0,27.0,Undirected,40,68338  108880     231   43021,1.0
27.0,29.0,Undirected,41,80020  114249       0       0,1.0
31.0,32.0,Undirected,42,68228  82562      0      0,1.0
31.0,33.0,Undirected,43,57103  89382      0      0,1.0
32.0,34.0,Undirected,44,86890  99349      0      0,1.0
32.0,37.0,Undirected,45,71802  93507      0      0,1.0
33.0,37.0,Undirected,46,53284  95935    292  41603,1.0
34.0,35.0,Undirected,47,112552  122334       0       0,1.0
34.0,36.0,Undirected,48,112669  122459       0       0,1.0
37.0,38.0,Undirected,49,60128  105466       0       0,1.0
37.0,39.0,Undirected,50,64346  111350     382   42720,1.0
38.0,40.0,Undirected,51,87695  126167       0       0,1.0
38.0,41.0,Undirected,52,61974  122643     477   95719,1.0
