Source,Target,Type,Id,Label,Weight
2.0,7.0,Undirected,1,4,200,7
4.0,6.0,Undirected,2,3,100,6
14.0,15.0,Undirected,3,14  17,100,15
14.0,31.0,Undirected,4,11  14,100,31
20.0,21.0,Undirected,5,5,100,21
24.0,26.0,Undirected,6,3   8  15,100,26
27.0,29.0,Undirected,7,11,100,29
37.0,39.0,Undirected,8,11,100,39
38.0,41.0,Undirected,9,10,100,41
