Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,1,17,4,7
2.0,7.0,Undirected,2,4,6,7
7.0,14.0,Undirected,3,4  17,6,14
8.0,13.0,Undirected,4,2  9,1,13
8.0,15.0,Undirected,5,3  8,1,15
9.0,11.0,Undirected,6,5  13,6,11
10.0,11.0,Undirected,7,7,8,11
11.0,13.0,Undirected,8,6   7  13,5,13
11.0,42.0,Undirected,9,5,5,42
12.0,17.0,Undirected,10,4  15,1,17
12.0,25.0,Undirected,11,11  15,2,25
12.0,30.0,Undirected,12,5  8  9,2,30
12.0,42.0,Undirected,13,2   5   8   9  11,1,42
13.0,16.0,Undirected,14,6   7  11  13,2,16
13.0,42.0,Undirected,15,2   8   9  11,4,42
14.0,15.0,Undirected,16,14  17,2,15
14.0,16.0,Undirected,17,11  13,1,16
14.0,17.0,Undirected,18,4,2,17
14.0,31.0,Undirected,19,11  14,5,31
15.0,17.0,Undirected,20,3  10,1,17
16.0,17.0,Undirected,21,6  7,1,17
17.0,18.0,Undirected,22,6   7  10  15,2,18
17.0,30.0,Undirected,23,3,1,30
18.0,19.0,Undirected,24,6  10,2,19
18.0,31.0,Undirected,25,7  15,2,31
19.0,21.0,Undirected,26,6,1,21
19.0,32.0,Undirected,27,9  10,1,32
20.0,21.0,Undirected,28,5,1,21
20.0,30.0,Undirected,29,5  9,1,30
25.0,27.0,Undirected,30,11,2,27
27.0,29.0,Undirected,31,11,2,29
31.0,32.0,Undirected,32,7  14,1,32
31.0,33.0,Undirected,33,11  15,3,33
33.0,37.0,Undirected,34,11,3,37
37.0,38.0,Undirected,35,10  14,3,38
37.0,39.0,Undirected,36,11,2,39
38.0,40.0,Undirected,37,14,4,40
38.0,41.0,Undirected,38,10,3,41
