Source,Target,Type,Id,Label,Weight
3.0,6.0,Undirected,1,2,2,6
4.0,6.0,Undirected,2,3,4,6
5.0,8.0,Undirected,3,9,6,8
6.0,8.0,Undirected,4,2  3,6,8
8.0,13.0,Undirected,5,2  9,6,13
8.0,15.0,Undirected,6,3  8,2,15
12.0,17.0,Undirected,7,4  15,3,17
12.0,25.0,Undirected,8,11  15,1,25
12.0,28.0,Undirected,9,2  4,4,28
12.0,30.0,Undirected,10,5  8  9,2,30
12.0,42.0,Undirected,11,2   5   8   9  11,2,42
13.0,16.0,Undirected,12,6   7  11  13,4,16
13.0,42.0,Undirected,13,2   8   9  11,2,42
14.0,15.0,Undirected,14,14  17,2,15
14.0,31.0,Undirected,15,11  14,2,31
15.0,17.0,Undirected,16,3  10,4,17
16.0,17.0,Undirected,17,6  7,4,17
17.0,18.0,Undirected,18,6   7  10  15,2,18
17.0,30.0,Undirected,19,3,3,30
18.0,19.0,Undirected,20,6  10,1,19
18.0,31.0,Undirected,21,7  15,1,31
19.0,20.0,Undirected,22,9,1,20
19.0,21.0,Undirected,23,6,2,21
19.0,32.0,Undirected,24,9  10,2,32
20.0,21.0,Undirected,25,5,2,21
20.0,30.0,Undirected,26,5  9,3,30
24.0,25.0,Undirected,27,15,5,25
24.0,26.0,Undirected,28,3   8  15,2,26
24.0,30.0,Undirected,29,3  8,2,30
25.0,27.0,Undirected,30,11,4,27
27.0,29.0,Undirected,31,11,4,29
31.0,32.0,Undirected,32,7  14,1,32
31.0,33.0,Undirected,33,11  15,1,33
32.0,37.0,Undirected,34,10  14,3,37
33.0,37.0,Undirected,35,11,1,37
37.0,38.0,Undirected,36,10  14,2,38
38.0,41.0,Undirected,37,10,2,41
