Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,4704  4995     0     0,1.0
2.0,7.0,Undirected,1,5618  5900     0     0,1.0
3.0,6.0,Undirected,2,6073  6399     0     0,1.0
4.0,6.0,Undirected,3,6249  6638     0     0,1.0
5.0,8.0,Undirected,4,6112  6447     0     0,1.0
6.0,8.0,Undirected,5,4619  4915     0     0,1.0
7.0,14.0,Undirected,6,4669  4956     0     0,1.0
8.0,13.0,Undirected,7,4031  4273     0     0,1.0
8.0,15.0,Undirected,8,3545  3787     0     0,1.0
9.0,11.0,Undirected,9,4588  4856     0     0,1.0
10.0,11.0,Undirected,10,5275  5573     0     0,1.0
11.0,13.0,Undirected,11,3360  3563     0     0,1.0
11.0,42.0,Undirected,12,5022  5302     0     0,1.0
12.0,17.0,Undirected,13,3700  3925     0     0,1.0
12.0,25.0,Undirected,14,4215  4500     0     0,1.0
12.0,28.0,Undirected,15,4799  5123     0     0,1.0
12.0,30.0,Undirected,16,4222  4494     0     0,1.0
12.0,42.0,Undirected,17,5061  5351     0     0,1.0
13.0,16.0,Undirected,18,3953  4167     0     0,1.0
13.0,42.0,Undirected,19,4246  4483     0     0,1.0
14.0,15.0,Undirected,20,3138  3387     0     0,1.0
14.0,16.0,Undirected,21,2742  2927     0     0,1.0
14.0,17.0,Undirected,22,2892  3070     0     0,1.0
14.0,31.0,Undirected,23,3485  3744     0     0,1.0
15.0,17.0,Undirected,24,3131  3391     0     0,1.0
16.0,17.0,Undirected,25,3636  3836     0     0,1.0
17.0,18.0,Undirected,26,3845  4157     0     0,1.0
17.0,30.0,Undirected,27,2875  3059     0     0,1.0
18.0,19.0,Undirected,28,3913  4190     0     0,1.0
18.0,31.0,Undirected,29,4350  4738     0     0,1.0
19.0,20.0,Undirected,30,3083  3312     0     0,1.0
19.0,21.0,Undirected,31,3887  4145     0     0,1.0
19.0,32.0,Undirected,32,3104  3327     0     0,1.0
20.0,21.0,Undirected,33,3210  3439     0     0,1.0
20.0,30.0,Undirected,34,3704  3977     0     0,1.0
21.0,22.0,Undirected,35,4618  4893     0     0,1.0
22.0,23.0,Undirected,36,6469  6761     0     0,1.0
24.0,25.0,Undirected,37,4283  4569     0     0,1.0
24.0,26.0,Undirected,38,4782  5077     0     0,1.0
24.0,30.0,Undirected,39,4397  4704     0     0,1.0
25.0,27.0,Undirected,40,5290  5590     0     0,1.0
27.0,29.0,Undirected,41,6109  6411     0     0,1.0
31.0,32.0,Undirected,42,3327  3591     0     0,1.0
31.0,33.0,Undirected,43,2980  3382     0     0,1.0
32.0,34.0,Undirected,44,4248  4574     0     0,1.0
32.0,37.0,Undirected,45,4435  4828     0     0,1.0
33.0,37.0,Undirected,46,3762  4231     0     0,1.0
34.0,35.0,Undirected,47,6019  6516     0     0,1.0
34.0,36.0,Undirected,48,5643  5976     0     0,1.0
37.0,38.0,Undirected,49,4380  5313     0     0,1.0
37.0,39.0,Undirected,50,4480  6306    19  1927,1.0
38.0,40.0,Undirected,51,6274  6887     0     0,1.0
38.0,41.0,Undirected,52,5480  6009     0     0,1.0
